Ada Results
DAY 2017-05-19, NON-RAINY/RAINY: 1357/83, SPE: 0.9462 REC: 0.8554
DAY 2017-05-25, NON-RAINY/RAINY: 1440/0, SPE: 0.9486 REC: -1.0000
DAY 2017-05-26, NON-RAINY/RAINY: 1440/0, SPE: 0.9576 REC: -1.0000
DAY 2017-06-05, NON-RAINY/RAINY: 1440/0, SPE: 0.9639 REC: -1.0000
DAY 2017-06-06, NON-RAINY/RAINY: 1440/0, SPE: 0.9764 REC: -1.0000
DAY 2017-06-18, NON-RAINY/RAINY: 1440/0, SPE: 0.7007 REC: -1.0000
DAY 2017-06-21, NON-RAINY/RAINY: 1440/0, SPE: 0.9493 REC: -1.0000
DAY 2017-06-22, NON-RAINY/RAINY: 1440/0, SPE: 0.8958 REC: -1.0000
DAY 2017-06-23, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-06-25, NON-RAINY/RAINY: 1420/20, SPE: 0.8923 REC: 0.8500
DAY 2017-06-26, NON-RAINY/RAINY: 1440/0, SPE: 0.9194 REC: -1.0000
DAY 2017-06-27, NON-RAINY/RAINY: 1435/5, SPE: 0.8990 REC: 1.0000
DAY 2017-06-28, NON-RAINY/RAINY: 1433/7, SPE: 0.9351 REC: 1.0000
DAY 2017-06-29, NON-RAINY/RAINY: 1440/0, SPE: 0.9924 REC: -1.0000
DAY 2017-07-01, NON-RAINY/RAINY: 1440/0, SPE: 0.9854 REC: -1.0000
DAY 2017-07-02, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-07-09, NON-RAINY/RAINY: 1440/0, SPE: 0.9743 REC: -1.0000
DAY 2017-07-10, NON-RAINY/RAINY: 1440/0, SPE: 0.9792 REC: -1.0000
DAY 2017-07-11, NON-RAINY/RAINY: 1379/61, SPE: 0.9869 REC: 1.0000
DAY 2017-07-20, NON-RAINY/RAINY: 1440/0, SPE: 0.9944 REC: -1.0000
DAY 2017-07-23, NON-RAINY/RAINY: 1440/0, SPE: 0.9938 REC: -1.0000
DAY 2017-07-25, NON-RAINY/RAINY: 1436/4, SPE: 0.8774 REC: 1.0000
DAY 2017-07-29, NON-RAINY/RAINY: 1427/13, SPE: 0.9019 REC: 1.0000
DAY 2017-08-06, NON-RAINY/RAINY: 1435/5, SPE: 0.9289 REC: 1.0000
DAY 2017-09-09, NON-RAINY/RAINY: 1112/328, SPE: 0.7743 REC: 0.9604
DAY 2017-09-10, NON-RAINY/RAINY: 1440/0, SPE: 0.9806 REC: -1.0000
DAY 2017-09-15, NON-RAINY/RAINY: 1270/170, SPE: 0.8732 REC: 0.9706
DAY 2017-09-18, NON-RAINY/RAINY: 1178/262, SPE: 0.8574 REC: 0.8893
DAY 2017-09-23, NON-RAINY/RAINY: 1440/0, SPE: 0.9833 REC: -1.0000
DAY 2017-10-01, NON-RAINY/RAINY: 1393/47, SPE: 0.9469 REC: 0.9149
DAY 2017-10-03, NON-RAINY/RAINY: 1398/42, SPE: 0.9435 REC: 0.8333
DAY 2017-10-20, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-10-23, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-11-02, NON-RAINY/RAINY: 1440/0, SPE: 0.9042 REC: -1.0000
DAY 2017-11-04, NON-RAINY/RAINY: 1367/73, SPE: 0.7959 REC: 1.0000
DAY 2017-11-06, NON-RAINY/RAINY: 1301/139, SPE: 0.9270 REC: 0.9137
DAY 2017-11-07, NON-RAINY/RAINY: 1427/13, SPE: 0.9846 REC: 0.6154
DAY 2017-11-11, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-11-12, NON-RAINY/RAINY: 1413/27, SPE: 0.8868 REC: 1.0000
DAY 2017-11-13, NON-RAINY/RAINY: 1440/0, SPE: 0.9799 REC: -1.0000
DAY 2017-11-14, NON-RAINY/RAINY: 1440/0, SPE: 0.9889 REC: -1.0000
DAY 2017-11-15, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-11-18, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-11-25, NON-RAINY/RAINY: 1098/342, SPE: 0.6794 REC: 0.6696
DAY 2017-11-29, NON-RAINY/RAINY: 1440/0, SPE: 0.9882 REC: -1.0000
DAY 2017-11-30, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-12-04, NON-RAINY/RAINY: 1440/0, SPE: 0.9479 REC: -1.0000
DAY 2017-12-06, NON-RAINY/RAINY: 1440/0, SPE: 0.9271 REC: -1.0000
DAY 2017-12-08, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-12-09, NON-RAINY/RAINY: 1440/0, SPE: 0.9958 REC: -1.0000
DAY 2017-12-14, NON-RAINY/RAINY: 1440/0, SPE: 0.9868 REC: -1.0000
DAY 2017-12-15, NON-RAINY/RAINY: 1440/0, SPE: 0.9826 REC: -1.0000
DAY 2017-12-16, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2017-12-24, NON-RAINY/RAINY: 1440/0, SPE: 0.9958 REC: -1.0000
DAY 2017-12-25, NON-RAINY/RAINY: 1379/61, SPE: 0.9811 REC: 0.8525
DAY 2018-01-01, NON-RAINY/RAINY: 1071/369, SPE: 0.9580 REC: 0.9621
DAY 2018-01-02, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2018-01-05, NON-RAINY/RAINY: 1440/0, SPE: 0.9910 REC: -1.0000
DAY 2018-01-06, NON-RAINY/RAINY: 1324/116, SPE: 0.8323 REC: 0.9569
DAY 2018-01-07, NON-RAINY/RAINY: 1440/0, SPE: 0.9951 REC: -1.0000
DAY 2018-01-09, NON-RAINY/RAINY: 1377/63, SPE: 0.8468 REC: 0.8571
DAY 2018-01-12, NON-RAINY/RAINY: 1440/0, SPE: 0.7826 REC: -1.0000
DAY 2018-01-14, NON-RAINY/RAINY: 1440/0, SPE: 0.9479 REC: -1.0000
DAY 2018-01-15, NON-RAINY/RAINY: 1300/140, SPE: 0.8838 REC: 1.0000
DAY 2018-01-17, NON-RAINY/RAINY: 1440/0, SPE: 0.9882 REC: -1.0000
DAY 2018-01-25, NON-RAINY/RAINY: 1440/0, SPE: 0.9000 REC: -1.0000
DAY 2018-01-27, NON-RAINY/RAINY: 1145/295, SPE: 0.6908 REC: 0.9831
DAY 2018-01-28, NON-RAINY/RAINY: 1440/0, SPE: 1.0000 REC: -1.0000
DAY 2018-01-29, NON-RAINY/RAINY: 1440/0, SPE: 0.9931 REC: -1.0000
DAY 2018-02-04, NON-RAINY/RAINY: 1394/46, SPE: 0.9240 REC: 0.8261
DAY 2018-02-08, NON-RAINY/RAINY: 1377/63, SPE: 0.9049 REC: 0.8889
DAY 2018-08-04, NON-RAINY/RAINY: 1424/16, SPE: 0.3883 REC: 1.0000
DAY 2018-08-14, NON-RAINY/RAINY: 1289/151, SPE: 0.4174 REC: 1.0000
DAY 2019-04-04, NON-RAINY/RAINY: 1094/346, SPE: 0.4506 REC: 0.8295
DAY 2019-04-07, NON-RAINY/RAINY: 1328/112, SPE: 0.4752 REC: 0.6696
DAY 2019-04-11, NON-RAINY/RAINY: 1345/95, SPE: 0.4818 REC: 0.6316
DAY 2019-04-13, NON-RAINY/RAINY: 1287/153, SPE: 0.4483 REC: 0.7974
DAY 2019-04-25, NON-RAINY/RAINY: 1432/8, SPE: 0.4770 REC: 1.0000
